150
10
1000	500	0	1000	4506.000000	6261.000000
8	8	1	4	1780.000000	5828.000000
7	0	6	6	8300.000000	7522.000000
10	0	7	7	419.000000	521.000000
8	2	4	5	4932.000000	1701.000000
7	6	1	3	8743.000000	7130.000000
10	10	3	10	1064.000000	4640.000000
8	1	8	8	876.000000	3879.000000
6	5	6	6	1073.000000	7728.000000
9	6	6	7	2484.000000	3608.000000
7	7	1	5	323.000000	5381.000000
10	5	9	10	2240.000000	9019.000000
9	8	1	3	8397.000000	3876.000000
10	1	10	10	1316.000000	9980.000000
9	1	4	7	2329.000000	667.000000
10	10	3	7	4225.000000	2762.000000
9	9	0	9	8130.000000	9657.000000
6	6	5	5	3050.000000	7201.000000
10	0	3	10	4441.000000	1972.000000
9	6	4	4	2611.000000	593.000000
8	0	7	8	4941.000000	9014.000000
9	6	7	7	5435.000000	8814.000000
8	6	8	8	157.000000	6018.000000
9	5	4	9	669.000000	7913.000000
7	2	7	7	9107.000000	2502.000000
10	0	9	9	4096.000000	3285.000000
7	4	7	7	2497.000000	1661.000000
7	5	7	7	211.000000	9651.000000
7	1	0	5	2380.000000	1650.000000
7	1	5	5	1168.000000	5777.000000
7	3	3	4	5520.000000	1084.000000
7	1	3	5	4621.000000	9715.000000
9	3	2	2	6648.000000	5911.000000
8	2	3	4	4838.000000	8687.000000
10	5	2	9	6947.000000	1043.000000
7	2	5	5	1910.000000	7089.000000
8	8	3	3	746.000000	1390.000000
8	7	5	6	2748.000000	3301.000000
7	2	2	6	1294.000000	7778.000000
7	3	6	6	8712.000000	709.000000
7	7	2	7	9672.000000	2171.000000
6	2	1	6	4212.000000	5125.000000
7	7	2	5	3448.000000	1983.000000
6	1	4	5	4943.000000	2695.000000
9	6	8	8	2759.000000	7643.000000
6	6	3	6	6276.000000	5433.000000
10	8	8	8	8276.000000	5324.000000
7	2	0	3	2568.000000	9704.000000
9	2	0	1	4498.000000	5427.000000
6	3	4	5	2415.000000	5428.000000
6	2	5	5	282.000000	5711.000000
7	3	6	7	164.000000	9887.000000
8	3	6	7	5370.000000	8604.000000
8	3	3	4	2969.000000	6404.000000
10	3	0	0	9060.000000	9891.000000
7	5	5	7	1579.000000	8617.000000
9	9	0	1	6386.000000	5126.000000
10	5	2	5	5849.000000	5504.000000
7	1	3	5	540.000000	2444.000000
9	3	5	9	9752.000000	1922.000000
6	1	6	6	8118.000000	5996.000000
9	7	6	6	1344.000000	8546.000000
10	10	6	7	642.000000	387.000000
8	5	2	7	5260.000000	9350.000000
7	2	3	7	8952.000000	1818.000000
9	4	3	6	2075.000000	2264.000000
9	8	8	8	6420.000000	8249.000000
6	0	6	6	9394.000000	9414.000000
6	3	6	6	2960.000000	7460.000000
7	5	2	5	7697.000000	2565.000000
8	6	0	7	4485.000000	9152.000000
7	7	3	3	4313.000000	9586.000000
8	8	2	2	173.000000	1258.000000
9	8	4	4	3049.000000	2191.000000
9	7	1	1	353.000000	5316.000000
10	8	3	10	7065.000000	7179.000000
10	10	9	9	2638.000000	7883.000000
7	6	7	7	6577.000000	9934.000000
7	4	5	5	4642.000000	1159.000000
8	2	3	6	4525.000000	6879.000000
10	4	3	3	7347.000000	5729.000000
10	4	9	10	5608.000000	8196.000000
7	3	0	6	3781.000000	9874.000000
6	6	1	2	7967.000000	9405.000000
10	5	2	4	7735.000000	733.000000
7	0	5	6	8501.000000	8688.000000
10	2	4	6	586.000000	7476.000000
9	8	3	3	8300.000000	1055.000000
8	6	8	8	7556.000000	6435.000000
10	0	10	10	3643.000000	8184.000000
9	0	2	5	7626.000000	2463.000000
7	2	1	2	2247.000000	1620.000000
6	4	0	5	571.000000	7684.000000
6	0	3	5	3198.000000	8583.000000
9	5	8	8	4280.000000	6585.000000
9	8	8	8	4075.000000	3.000000
10	0	2	3	5387.000000	3775.000000
8	5	1	4	1354.000000	1917.000000
6	4	4	6	7242.000000	3094.000000
6	0	6	6	2714.000000	6909.000000
8	8	0	5	9506.000000	9941.000000
6	0	4	6	9029.000000	8603.000000
8	3	8	8	6827.000000	190.000000
7	3	5	7	2334.000000	2070.000000
6	2	0	2	648.000000	5258.000000
6	6	2	6	3719.000000	5109.000000
8	7	8	8	7367.000000	5340.000000
9	8	1	5	2541.000000	3420.000000
6	6	5	5	4530.000000	9576.000000
9	6	9	9	8989.000000	7641.000000
